"sector","year","dls"
,2021,271
,2022,574
,2023,614
,2024,688
,2025,819
"",2025,47
"",2026,354
Agriculture,2025,33
Agriculture,2026,22
Commercial,2026,32
Higher Education,2025,6
Higher Education,2026,7
Other,2025,8
Other,2026,141
Research,2025,157
Research,2026,157
School,2025,2
School,2026,10
University,2025,135
University,2026,221
